Date,BuffettIndicator,MarketCap,GDP
2024-04-18,181.0844638632137,52780.768359375004,29147.044
2024-04-19,181.74698615556864,52973.8740234375,29147.044
2024-04-22,181.31549742231152,52848.107812500006,29147.044
2024-04-23,183.6261285246027,53521.5884765625,29147.044
2024-04-24,183.62936507708122,53522.5318359375,29147.044
2024-04-25,182.7703981212469,53272.168359375006,29147.044
2024-04-26,184.58130552085316,53799.9943359375,29147.044
2024-04-29,185.20928113349163,53983.030664062506,29147.044
2024-04-30,182.1831327100014,53100.997851562504,29147.044
2024-05-01,181.7017869966076,52960.6998046875,29147.044
2024-05-02,183.51293361965796,53488.595507812504,29147.044
2024-05-03,185.72424477676023,54133.127343750006,29147.044
2024-05-06,187.72776926474089,54717.095507812504,29147.044
2024-05-07,187.90338741661935,54768.283007812504,29147.044
2024-05-08,187.77982147177602,54732.2671875,29147.044
2024-05-09,188.82514349053716,55036.947656250006,29147.044
2024-05-10,189.01300425396482,55091.703515625006,29147.044
2024-05-13,188.97633270718637,55081.01484375,29147.044
2024-05-14,190.03054820927983,55388.287500000006,29147.044
2024-05-15,192.24442046443028,56033.565820312506,29147.044
2024-05-16,191.70844737398585,55877.345507812504,29147.044
2024-05-17,191.91267383538104,55936.871484375006,29147.044
2024-05-20,192.15519011979396,56007.5578125,29147.044
2024-05-21,192.49424009987084,56106.380859375,29147.044
2024-05-22,191.85942551112558,55921.351171875,29147.044
2024-05-23,190.2306938001586,55446.6240234375,29147.044
2024-05-24,191.60610195582782,55847.51484375,29147.044
2024-05-28,191.4791868827676,55810.522851562506,29147.044
2024-05-29,189.9688426326783,55370.302148437506,29147.044
2024-05-30,189.09936391727237,55116.874804687504,29147.044
2024-05-31,190.4800209167437,55519.2955078125,29147.044
2024-06-03,190.5374063993848,55536.0216796875,29147.044
2024-06-04,190.51618587269948,55529.8365234375,29147.044
2024-06-05,192.8287307625432,56203.875,29147.044
2024-06-06,192.6965246297789,56165.3408203125,29147.044
2024-06-07,192.2840471243413,56045.1158203125,29147.044
2024-06-10,192.83009574337112,56204.272851562506,29147.044
2024-06-11,193.27928701148903,56335.198828125,29147.044
2024-06-12,195.07426494411405,56858.3818359375,29147.044
2024-06-13,195.24512677104582,56908.183007812506,29147.044
2024-06-14,194.89479107319596,56806.0705078125,29147.044
2024-06-17,196.38910735253293,57241.619531250006,29147.044
2024-06-18,196.82922220174368,57369.9,29147.044
2024-06-20,196.31003696828571,57218.5728515625,29147.044
2024-06-21,196.0888115703946,57154.092187500006,29147.044
2024-06-24,195.68517126042008,57036.44296875,29147.044
2024-06-25,196.24976673234855,57201.005859375,29147.044
2024-06-26,196.50961968047258,57276.7453125,29147.044
2024-06-27,196.8421543396905,57373.669335937506,29147.044
2024-06-28,196.22639319466668,57194.193164062504,29147.044
2024-07-01,194.1423025941116,57294.6240234375,29511.664
2024-07-02,195.25576329646304,57623.2248046875,29511.664
2024-07-03,196.19369091340462,57900.022851562506,29511.664
2024-07-05,197.0784026804622,58161.116015625004,29511.664
2024-07-08,197.32816555282176,58234.8251953125,29511.664
2024-07-09,197.34040978467021,58238.438671875,29511.664
2024-07-10,199.31138365961,58820.105859375006,29511.664
2024-07-11,198.33263730380472,58531.261523437504,29511.664
